law,eps_s,K_hydraulic_rel_linear_interpolation,interpolation_scope
collector_biased,0,1,between the registered zero and first nonzero network nodes
collector_biased,2.68271718661667e-05,0.99991871779843,between the registered zero and first nonzero network nodes
collector_biased,5.36543437323333e-05,0.99983743559686,between the registered zero and first nonzero network nodes
collector_biased,8.04815155985e-05,0.99975615339529,between the registered zero and first nonzero network nodes
collector_biased,0.000107308687464667,0.99967487119372,between the registered zero and first nonzero network nodes
collector_biased,0.000134135859330833,0.99959358899215,between the registered zero and first nonzero network nodes
collector_biased,0.000160963031197,0.99951230679058,between the registered zero and first nonzero network nodes
collector_biased,0.000187790203063167,0.99943102458901,between the registered zero and first nonzero network nodes
collector_biased,0.000214617374929333,0.99934974238744,between the registered zero and first nonzero network nodes
collector_biased,0.0002414445467955,0.99926846018587,between the registered zero and first nonzero network nodes
collector_biased,0.000268271718661667,0.9991871779843,between the registered zero and first nonzero network nodes
collector_biased,0.000295098890527833,0.99910589578273,between the registered zero and first nonzero network nodes
collector_biased,0.000321926062394,0.99902461358116,between the registered zero and first nonzero network nodes
collector_biased,0.000348753234260167,0.99894333137959,between the registered zero and first nonzero network nodes
collector_biased,0.000375580406126333,0.998862049178019,between the registered zero and first nonzero network nodes
collector_biased,0.0004024075779925,0.998780766976449,between the registered zero and first nonzero network nodes
collector_biased,0.000429234749858667,0.998699484774879,between the registered zero and first nonzero network nodes
collector_biased,0.000456061921724833,0.998618202573309,between the registered zero and first nonzero network nodes
collector_biased,0.000482889093591,0.998536920371739,between the registered zero and first nonzero network nodes
collector_biased,0.000509716265457167,0.998455638170169,between the registered zero and first nonzero network nodes
collector_biased,0.000536543437323333,0.998374355968599,between the registered zero and first nonzero network nodes
collector_biased,0.0005633706091895,0.998293073767029,between the registered zero and first nonzero network nodes
collector_biased,0.000590197781055667,0.998211791565459,between the registered zero and first nonzero network nodes
collector_biased,0.000617024952921833,0.998130509363889,between the registered zero and first nonzero network nodes
collector_biased,0.000643852124788,0.998049227162319,between the registered zero and first nonzero network nodes
collector_biased,0.000670679296654167,0.997967944960749,between the registered zero and first nonzero network nodes
collector_biased,0.000697506468520333,0.997886662759179,between the registered zero and first nonzero network nodes
collector_biased,0.0007243336403865,0.997805380557609,between the registered zero and first nonzero network nodes
collector_biased,0.000751160812252667,0.997724098356039,between the registered zero and first nonzero network nodes
collector_biased,0.000777987984118833,0.997642816154469,between the registered zero and first nonzero network nodes
collector_biased,0.000804815155985,0.997561533952899,between the registered zero and first nonzero network nodes
collector_biased,0.000831642327851167,0.997480251751329,between the registered zero and first nonzero network nodes
collector_biased,0.000858469499717333,0.997398969549759,between the registered zero and first nonzero network nodes
collector_biased,0.0008852966715835,0.997317687348189,between the registered zero and first nonzero network nodes
collector_biased,0.000912123843449667,0.997236405146619,between the registered zero and first nonzero network nodes
collector_biased,0.000938951015315833,0.997155122945049,between the registered zero and first nonzero network nodes
collector_biased,0.000965778187182,0.997073840743479,between the registered zero and first nonzero network nodes
collector_biased,0.000992605359048167,0.996992558541909,between the registered zero and first nonzero network nodes
collector_biased,0.00101943253091433,0.996911276340339,between the registered zero and first nonzero network nodes
collector_biased,0.0010462597027805,0.996829994138769,between the registered zero and first nonzero network nodes
collector_biased,0.00107308687464667,0.996748711937199,between the registered zero and first nonzero network nodes
collector_biased,0.00109991404651283,0.996667429735628,between the registered zero and first nonzero network nodes
collector_biased,0.001126741218379,0.996586147534058,between the registered zero and first nonzero network nodes
collector_biased,0.00115356839024517,0.996504865332488,between the registered zero and first nonzero network nodes
collector_biased,0.00118039556211133,0.996423583130918,between the registered zero and first nonzero network nodes
collector_biased,0.0012072227339775,0.996342300929348,between the registered zero and first nonzero network nodes
collector_biased,0.00123404990584367,0.996261018727778,between the registered zero and first nonzero network nodes
collector_biased,0.00126087707770983,0.996179736526208,between the registered zero and first nonzero network nodes
collector_biased,0.001287704249576,0.996098454324638,between the registered zero and first nonzero network nodes
collector_biased,0.00131453142144217,0.996017172123068,between the registered zero and first nonzero network nodes
collector_biased,0.00134135859330833,0.995935889921498,between the registered zero and first nonzero network nodes
collector_biased,0.0013681857651745,0.995854607719928,between the registered zero and first nonzero network nodes
collector_biased,0.00139501293704067,0.995773325518358,between the registered zero and first nonzero network nodes
collector_biased,0.00142184010890683,0.995692043316788,between the registered zero and first nonzero network nodes
collector_biased,0.001448667280773,0.995610761115218,between the registered zero and first nonzero network nodes
collector_biased,0.00147549445263917,0.995529478913648,between the registered zero and first nonzero network nodes
collector_biased,0.00150232162450533,0.995448196712078,between the registered zero and first nonzero network nodes
collector_biased,0.0015291487963715,0.995366914510508,between the registered zero and first nonzero network nodes
collector_biased,0.00155597596823767,0.995285632308938,between the registered zero and first nonzero network nodes
collector_biased,0.00158280314010383,0.995204350107368,between the registered zero and first nonzero network nodes
collector_biased,0.00160963031197,0.995123067905798,between the registered zero and first nonzero network nodes
collector_biased,0.00163645748383617,0.995041785704228,between the registered zero and first nonzero network nodes
collector_biased,0.00166328465570233,0.994960503502658,between the registered zero and first nonzero network nodes
collector_biased,0.0016901118275685,0.994879221301088,between the registered zero and first nonzero network nodes
collector_biased,0.00171693899943467,0.994797939099518,between the registered zero and first nonzero network nodes
collector_biased,0.00174376617130083,0.994716656897948,between the registered zero and first nonzero network nodes
collector_biased,0.001770593343167,0.994635374696378,between the registered zero and first nonzero network nodes
collector_biased,0.00179742051503317,0.994554092494808,between the registered zero and first nonzero network nodes
collector_biased,0.00182424768689933,0.994472810293238,between the registered zero and first nonzero network nodes
collector_biased,0.0018510748587655,0.994391528091668,between the registered zero and first nonzero network nodes
collector_biased,0.00187790203063167,0.994310245890098,between the registered zero and first nonzero network nodes
collector_biased,0.00190472920249783,0.994228963688527,between the registered zero and first nonzero network nodes
collector_biased,0.001931556374364,0.994147681486957,between the registered zero and first nonzero network nodes
collector_biased,0.00195838354623017,0.994066399285387,between the registered zero and first nonzero network nodes
collector_biased,0.00198521071809633,0.993985117083817,between the registered zero and first nonzero network nodes
collector_biased,0.0020120378899625,0.993903834882247,between the registered zero and first nonzero network nodes
collector_biased,0.00203886506182867,0.993822552680677,between the registered zero and first nonzero network nodes
collector_biased,0.00206569223369483,0.993741270479107,between the registered zero and first nonzero network nodes
collector_biased,0.002092519405561,0.993659988277537,between the registered zero and first nonzero network nodes
collector_biased,0.00211934657742717,0.993578706075967,between the registered zero and first nonzero network nodes
collector_biased,0.00214617374929333,0.993497423874397,between the registered zero and first nonzero network nodes
collector_biased,0.0021730009211595,0.993416141672827,between the registered zero and first nonzero network nodes
collector_biased,0.00219982809302567,0.993334859471257,between the registered zero and first nonzero network nodes
collector_biased,0.00222665526489183,0.993253577269687,between the registered zero and first nonzero network nodes
collector_biased,0.002253482436758,0.993172295068117,between the registered zero and first nonzero network nodes
collector_biased,0.00228030960862417,0.993091012866547,between the registered zero and first nonzero network nodes
collector_biased,0.00230713678049033,0.993009730664977,between the registered zero and first nonzero network nodes
collector_biased,0.0023339639523565,0.992928448463407,between the registered zero and first nonzero network nodes
collector_biased,0.00236079112422267,0.992847166261837,between the registered zero and first nonzero network nodes
collector_biased,0.00238761829608883,0.992765884060267,between the registered zero and first nonzero network nodes
collector_biased,0.002414445467955,0.992684601858697,between the registered zero and first nonzero network nodes
collector_biased,0.00244127263982117,0.992603319657127,between the registered zero and first nonzero network nodes
collector_biased,0.00246809981168733,0.992522037455557,between the registered zero and first nonzero network nodes
collector_biased,0.0024949269835535,0.992440755253987,between the registered zero and first nonzero network nodes
collector_biased,0.00252175415541967,0.992359473052417,between the registered zero and first nonzero network nodes
collector_biased,0.00254858132728583,0.992278190850847,between the registered zero and first nonzero network nodes
collector_biased,0.002575408499152,0.992196908649277,between the registered zero and first nonzero network nodes
collector_biased,0.00260223567101817,0.992115626447707,between the registered zero and first nonzero network nodes
collector_biased,0.00262906284288433,0.992034344246136,between the registered zero and first nonzero network nodes
collector_biased,0.0026558900147505,0.991953062044566,between the registered zero and first nonzero network nodes
collector_biased,0.00268271718661667,0.991871779842996,between the registered zero and first nonzero network nodes
collector_biased,0.00270954435848283,0.991790497641426,between the registered zero and first nonzero network nodes
collector_biased,0.002736371530349,0.991709215439856,between the registered zero and first nonzero network nodes
collector_biased,0.00276319870221517,0.991627933238286,between the registered zero and first nonzero network nodes
collector_biased,0.00279002587408133,0.991546651036716,between the registered zero and first nonzero network nodes
collector_biased,0.0028168530459475,0.991465368835146,between the registered zero and first nonzero network nodes
collector_biased,0.00284368021781367,0.991384086633576,between the registered zero and first nonzero network nodes
collector_biased,0.00287050738967983,0.991302804432006,between the registered zero and first nonzero network nodes
collector_biased,0.002897334561546,0.991221522230436,between the registered zero and first nonzero network nodes
collector_biased,0.00292416173341217,0.991140240028866,between the registered zero and first nonzero network nodes
collector_biased,0.00295098890527833,0.991058957827296,between the registered zero and first nonzero network nodes
collector_biased,0.0029778160771445,0.990977675625726,between the registered zero and first nonzero network nodes
collector_biased,0.00300464324901067,0.990896393424156,between the registered zero and first nonzero network nodes
collector_biased,0.00303147042087683,0.990815111222586,between the registered zero and first nonzero network nodes
collector_biased,0.003058297592743,0.990733829021016,between the registered zero and first nonzero network nodes
collector_biased,0.00308512476460917,0.990652546819446,between the registered zero and first nonzero network nodes
collector_biased,0.00311195193647533,0.990571264617876,between the registered zero and first nonzero network nodes
collector_biased,0.0031387791083415,0.990489982416306,between the registered zero and first nonzero network nodes
collector_biased,0.00316560628020767,0.990408700214736,between the registered zero and first nonzero network nodes
collector_biased,0.00319243345207383,0.990327418013166,between the registered zero and first nonzero network nodes
collector_biased,0.00321926062394,0.990246135811596,between the registered zero and first nonzero network nodes
current_path,0,1,between the registered zero and first nonzero network nodes
current_path,2.68271718661667e-05,0.999845570391307,between the registered zero and first nonzero network nodes
current_path,5.36543437323333e-05,0.999691140782614,between the registered zero and first nonzero network nodes
current_path,8.04815155985e-05,0.999536711173922,between the registered zero and first nonzero network nodes
current_path,0.000107308687464667,0.999382281565229,between the registered zero and first nonzero network nodes
current_path,0.000134135859330833,0.999227851956536,between the registered zero and first nonzero network nodes
current_path,0.000160963031197,0.999073422347843,between the registered zero and first nonzero network nodes
current_path,0.000187790203063167,0.99891899273915,between the registered zero and first nonzero network nodes
current_path,0.000214617374929333,0.998764563130457,between the registered zero and first nonzero network nodes
current_path,0.0002414445467955,0.998610133521765,between the registered zero and first nonzero network nodes
current_path,0.000268271718661667,0.998455703913072,between the registered zero and first nonzero network nodes
current_path,0.000295098890527833,0.998301274304379,between the registered zero and first nonzero network nodes
current_path,0.000321926062394,0.998146844695686,between the registered zero and first nonzero network nodes
current_path,0.000348753234260167,0.997992415086993,between the registered zero and first nonzero network nodes
current_path,0.000375580406126333,0.9978379854783,between the registered zero and first nonzero network nodes
current_path,0.0004024075779925,0.997683555869607,between the registered zero and first nonzero network nodes
current_path,0.000429234749858667,0.997529126260915,between the registered zero and first nonzero network nodes
current_path,0.000456061921724833,0.997374696652222,between the registered zero and first nonzero network nodes
current_path,0.000482889093591,0.997220267043529,between the registered zero and first nonzero network nodes
current_path,0.000509716265457167,0.997065837434836,between the registered zero and first nonzero network nodes
current_path,0.000536543437323333,0.996911407826143,between the registered zero and first nonzero network nodes
current_path,0.0005633706091895,0.99675697821745,between the registered zero and first nonzero network nodes
current_path,0.000590197781055667,0.996602548608758,between the registered zero and first nonzero network nodes
current_path,0.000617024952921833,0.996448119000065,between the registered zero and first nonzero network nodes
current_path,0.000643852124788,0.996293689391372,between the registered zero and first nonzero network nodes
current_path,0.000670679296654167,0.996139259782679,between the registered zero and first nonzero network nodes
current_path,0.000697506468520333,0.995984830173986,between the registered zero and first nonzero network nodes
current_path,0.0007243336403865,0.995830400565293,between the registered zero and first nonzero network nodes
current_path,0.000751160812252667,0.995675970956601,between the registered zero and first nonzero network nodes
current_path,0.000777987984118833,0.995521541347908,between the registered zero and first nonzero network nodes
current_path,0.000804815155985,0.995367111739215,between the registered zero and first nonzero network nodes
current_path,0.000831642327851167,0.995212682130522,between the registered zero and first nonzero network nodes
current_path,0.000858469499717333,0.995058252521829,between the registered zero and first nonzero network nodes
current_path,0.0008852966715835,0.994903822913137,between the registered zero and first nonzero network nodes
current_path,0.000912123843449667,0.994749393304444,between the registered zero and first nonzero network nodes
current_path,0.000938951015315833,0.994594963695751,between the registered zero and first nonzero network nodes
current_path,0.000965778187182,0.994440534087058,between the registered zero and first nonzero network nodes
current_path,0.000992605359048167,0.994286104478365,between the registered zero and first nonzero network nodes
current_path,0.00101943253091433,0.994131674869672,between the registered zero and first nonzero network nodes
current_path,0.0010462597027805,0.993977245260979,between the registered zero and first nonzero network nodes
current_path,0.00107308687464667,0.993822815652287,between the registered zero and first nonzero network nodes
current_path,0.00109991404651283,0.993668386043594,between the registered zero and first nonzero network nodes
current_path,0.001126741218379,0.993513956434901,between the registered zero and first nonzero network nodes
current_path,0.00115356839024517,0.993359526826208,between the registered zero and first nonzero network nodes
current_path,0.00118039556211133,0.993205097217515,between the registered zero and first nonzero network nodes
current_path,0.0012072227339775,0.993050667608822,between the registered zero and first nonzero network nodes
current_path,0.00123404990584367,0.99289623800013,between the registered zero and first nonzero network nodes
current_path,0.00126087707770983,0.992741808391437,between the registered zero and first nonzero network nodes
current_path,0.001287704249576,0.992587378782744,between the registered zero and first nonzero network nodes
current_path,0.00131453142144217,0.992432949174051,between the registered zero and first nonzero network nodes
current_path,0.00134135859330833,0.992278519565358,between the registered zero and first nonzero network nodes
current_path,0.0013681857651745,0.992124089956665,between the registered zero and first nonzero network nodes
current_path,0.00139501293704067,0.991969660347973,between the registered zero and first nonzero network nodes
current_path,0.00142184010890683,0.99181523073928,between the registered zero and first nonzero network nodes
current_path,0.001448667280773,0.991660801130587,between the registered zero and first nonzero network nodes
current_path,0.00147549445263917,0.991506371521894,between the registered zero and first nonzero network nodes
current_path,0.00150232162450533,0.991351941913201,between the registered zero and first nonzero network nodes
current_path,0.0015291487963715,0.991197512304508,between the registered zero and first nonzero network nodes
current_path,0.00155597596823767,0.991043082695816,between the registered zero and first nonzero network nodes
current_path,0.00158280314010383,0.990888653087123,between the registered zero and first nonzero network nodes
current_path,0.00160963031197,0.99073422347843,between the registered zero and first nonzero network nodes
current_path,0.00163645748383617,0.990579793869737,between the registered zero and first nonzero network nodes
current_path,0.00166328465570233,0.990425364261044,between the registered zero and first nonzero network nodes
current_path,0.0016901118275685,0.990270934652351,between the registered zero and first nonzero network nodes
current_path,0.00171693899943467,0.990116505043659,between the registered zero and first nonzero network nodes
current_path,0.00174376617130083,0.989962075434966,between the registered zero and first nonzero network nodes
current_path,0.001770593343167,0.989807645826273,between the registered zero and first nonzero network nodes
current_path,0.00179742051503317,0.98965321621758,between the registered zero and first nonzero network nodes
current_path,0.00182424768689933,0.989498786608887,between the registered zero and first nonzero network nodes
current_path,0.0018510748587655,0.989344357000194,between the registered zero and first nonzero network nodes
current_path,0.00187790203063167,0.989189927391502,between the registered zero and first nonzero network nodes
current_path,0.00190472920249783,0.989035497782809,between the registered zero and first nonzero network nodes
current_path,0.001931556374364,0.988881068174116,between the registered zero and first nonzero network nodes
current_path,0.00195838354623017,0.988726638565423,between the registered zero and first nonzero network nodes
current_path,0.00198521071809633,0.98857220895673,between the registered zero and first nonzero network nodes
current_path,0.0020120378899625,0.988417779348037,between the registered zero and first nonzero network nodes
current_path,0.00203886506182867,0.988263349739345,between the registered zero and first nonzero network nodes
current_path,0.00206569223369483,0.988108920130652,between the registered zero and first nonzero network nodes
current_path,0.002092519405561,0.987954490521959,between the registered zero and first nonzero network nodes
current_path,0.00211934657742717,0.987800060913266,between the registered zero and first nonzero network nodes
current_path,0.00214617374929333,0.987645631304573,between the registered zero and first nonzero network nodes
current_path,0.0021730009211595,0.98749120169588,between the registered zero and first nonzero network nodes
current_path,0.00219982809302567,0.987336772087188,between the registered zero and first nonzero network nodes
current_path,0.00222665526489183,0.987182342478495,between the registered zero and first nonzero network nodes
current_path,0.002253482436758,0.987027912869802,between the registered zero and first nonzero network nodes
current_path,0.00228030960862417,0.986873483261109,between the registered zero and first nonzero network nodes
current_path,0.00230713678049033,0.986719053652416,between the registered zero and first nonzero network nodes
current_path,0.0023339639523565,0.986564624043723,between the registered zero and first nonzero network nodes
current_path,0.00236079112422267,0.986410194435031,between the registered zero and first nonzero network nodes
current_path,0.00238761829608883,0.986255764826338,between the registered zero and first nonzero network nodes
current_path,0.002414445467955,0.986101335217645,between the registered zero and first nonzero network nodes
current_path,0.00244127263982117,0.985946905608952,between the registered zero and first nonzero network nodes
current_path,0.00246809981168733,0.985792476000259,between the registered zero and first nonzero network nodes
current_path,0.0024949269835535,0.985638046391566,between the registered zero and first nonzero network nodes
current_path,0.00252175415541967,0.985483616782874,between the registered zero and first nonzero network nodes
current_path,0.00254858132728583,0.985329187174181,between the registered zero and first nonzero network nodes
current_path,0.002575408499152,0.985174757565488,between the registered zero and first nonzero network nodes
current_path,0.00260223567101817,0.985020327956795,between the registered zero and first nonzero network nodes
current_path,0.00262906284288433,0.984865898348102,between the registered zero and first nonzero network nodes
current_path,0.0026558900147505,0.984711468739409,between the registered zero and first nonzero network nodes
current_path,0.00268271718661667,0.984557039130717,between the registered zero and first nonzero network nodes
current_path,0.00270954435848283,0.984402609522024,between the registered zero and first nonzero network nodes
current_path,0.002736371530349,0.984248179913331,between the registered zero and first nonzero network nodes
current_path,0.00276319870221517,0.984093750304638,between the registered zero and first nonzero network nodes
current_path,0.00279002587408133,0.983939320695945,between the registered zero and first nonzero network nodes
current_path,0.0028168530459475,0.983784891087252,between the registered zero and first nonzero network nodes
current_path,0.00284368021781367,0.983630461478559,between the registered zero and first nonzero network nodes
current_path,0.00287050738967983,0.983476031869867,between the registered zero and first nonzero network nodes
current_path,0.002897334561546,0.983321602261174,between the registered zero and first nonzero network nodes
current_path,0.00292416173341217,0.983167172652481,between the registered zero and first nonzero network nodes
current_path,0.00295098890527833,0.983012743043788,between the registered zero and first nonzero network nodes
current_path,0.0029778160771445,0.982858313435095,between the registered zero and first nonzero network nodes
current_path,0.00300464324901067,0.982703883826403,between the registered zero and first nonzero network nodes
current_path,0.00303147042087683,0.98254945421771,between the registered zero and first nonzero network nodes
current_path,0.003058297592743,0.982395024609017,between the registered zero and first nonzero network nodes
