"id","draft_line","section","minimal_claim","citation_keys","status","source_locator","evidence_excerpt_le25_words","assessment","safer_wording","action","evidence_path"
"I01","17","Introduction","Recent ZIFB studies demonstrate high-capacity appeal and improved electrodes, electrolytes, cell designs, rate performance, and cycling stability.","Li2015;Xie2018;Weng2017;Wen2025;Fan2024;Huang2025;WuLoading2025","CONTEXT-RISK","Li2015 abstract/results; Xie2018 abstract; Weng2017 p.1; Fan2024 p.1; Wen2025 p.1; Huang2025 p.1; WuLoading2025 p.1","Weng: 'complexing agent to stabilize the iodine, forming iodine-bromide ions'.","Li2015, Xie2018, Weng2017 and Fan2024 concern flow batteries; Wen2025, Huang2025 and WuLoading2025 concern the broader/static Zn-I2 field. Calling the whole set ZIFB evidence conflates architectures.","Over the past decade, zinc-polyiodide flow batteries have combined high-energy iodide chemistry with electrolyte, membrane and cell-design strategies for improved power and cycling performance \\citep{Li2015,Xie2018,Weng2017,Fan2024}.","MUST_CHANGE","https://www.nature.com/articles/ncomms7303; https://onlinelibrary.wiley.com/doi/10.1002/anie.201803122; literature_pdfs/halide_complexation/Weng2017_EES_ZincPolyiodideI2Br.pdf; literature_pdfs/Fan2024.pdf; literature_pdfs/Wen2025.pdf; literature_pdfs/Huang2025.pdf; literature_pdfs/round2/ZnI_Joule2025.pdf"
"I02a","19","Introduction","During positive-electrode charge, iodide is oxidized to molecular iodine.","Wen2025","FULL","Wen2025 pp.4-5, low-valence conversion discussion and Eqs. 1-4","During charging, I- is first oxidized to I2.","The review explicitly states the charge direction and the I-/I2/I3- sequence.","Retain; optionally write the half-reaction as an idealized bookkeeping reaction.","KEEP","literature_pdfs/Wen2025.pdf"
"I02b","19","Introduction","Excess iodide binds aqueous I2 through I2 + I- <=> I3-, and I3- is the predominant soluble polyiodide in the stated treatment.","Palmer1984;Wen2025","FULL","Palmer1984 p.673 Eq.1 and pp.677-679 Tables III-IV; Wen2025 p.5 Eqs.2-3 and adjacent text","Palmer: 'equilibrium constant at 25 C is 698 +/- 10'.","Palmer directly establishes the aqueous triiodide formation equilibrium; Wen states that other polyiodides are less stable and commonly represented by I3-.","In excess iodide, aqueous I2 is partitioned by I2 + I- <=> I3-; I3- is commonly treated as the dominant soluble polyiodide \\citep{Palmer1984,Wen2025}.","KEEP_WITH_OPTIONAL_TIGHTENING","literature_pdfs/round2/Palmer1984.pdf; literature_pdfs/Wen2025.pdf"
"I02c","19","Introduction","Iodide rapidly binds I2.","Palmer1984;Wen2025","PARTIAL","Palmer1984 throughout is an equilibrium/activity study, not a kinetic study; Wen2025 p.4 says the reaction is favorable and rapid but is a review statement","Wen: 'this reaction is more favorable and occurs rapidly'.","The citation pair supports equilibrium/speciation, but Palmer does not measure a complexation rate. The kinetic adverb rests only on a secondary review and is unnecessary.","Remove 'rapidly': excess iodide binds aqueous I2 through the I2 + I- <=> I3- equilibrium.","MUST_CHANGE","literature_pdfs/round2/Palmer1984.pdf; literature_pdfs/Wen2025.pdf"
"I03","19","Introduction","Nanoporous carbon hosts can retain substantial solid iodine while maintaining reversible electrochemistry.","SolidI2_NatCommun2020;Fitzek2023","FULL","SolidI2_NatCommun2020 pp.4-6, Figs.2g,3c-d,4a-c; Fitzek2023 pp.6-9, Figs.2-4","There are no signs for performance degradation after cycling several hundred times.","Directly supported for nanoporous carbon: about 30% pore occupancy, near-100% CE over hundreds of cycles, and reversible spectroscopic/structural changes. It is host-specific, not transferable to felt morphology.","Retain with 'nanoporous carbon' explicit; the following non-transfer sentence is essential.","KEEP","literature_pdfs/round2/SolidI2_NatCommun2020.pdf; literature_pdfs/Fitzek2023.pdf"
"I04","19","Introduction","A dense iodine film can cause a large increase in positive-electrode charge-transfer resistance under other conditions.","Jang2021","FULL","Jang2021 p.6385 abstract; pp.6388-6391, Figs.3-6","dramatic 9-fold increase of Rct to 147.4 ohm cm2","Jang directly measured the porous-to-dense film transition, Rct increase from below 16.5 to 147.4 ohm cm2, and >300 mV overpotential rise above 400 mA cm-2.","Use 'dense iodine film' rather than the broader 'dense iodine deposits'.","KEEP_WITH_OPTIONAL_TIGHTENING","literature_pdfs/round12/Jang_ACSAMI2021_IodineFilm_ChargeTransferResistance.pdf"
"I05","19","Introduction","In another iodine cell, optical microscopy shows a charged-state iodine film and residual separated particles after discharge.","LiDualPlate2025","FULL","LiDualPlate2025 pp.3163-3164, Fig.3a-b and Fig.S12","yellow iodine films immediately cover the carbon fiber; A few I2 particles are observed","Direct in-situ optical evidence on graphite-felt fibers: film coverage after 210 s charge and a few particles after 420 s discharge. The chemistry is a dual-plating G4/I- cell, not the present electrolyte.","Retain the explicit 'different iodine cell' boundary and do not transfer morphology thresholds.","KEEP","literature_pdfs/round3/Li_EES2025_DualPlatingHalogenComplexation.pdf"
"I06","21","Introduction","Continuum porous-electrode models calculate species transport, current distribution and potential fields across a flow cell.","Newman1962;Tichter2020;Chakrabarti2020;AparicioMauricio2023","PARTIAL","Newman1962 pp.1183-1191; Tichter2020 thesis; Chakrabarti2020 p.5433 abstract and sections 3.3-4; AparicioMauricio2023 pp.1-6, Eqs.2-31 and Figs.4-6","Aparicio: 'tertiary current distribution model' with concentration, current and potential fields.","Newman and Tichter are foundational porous/macroporous-electrode theory, not flow-cell demonstrations. Chakrabarti and Aparicio support the flow-battery extension. The grouped sentence obscures this distinction.","Porous-electrode theory resolves coupled current and species transport \\citep{Newman1962,Tichter2020}; flow-battery extensions calculate concentration, current and potential distributions across porous cells \\citep{Chakrabarti2020,AparicioMauricio2023}.","MUST_CHANGE","literature_pdfs/Chakrabarti2020.pdf; literature_pdfs/AparicioMauricio2023.pdf"
"I07","21","Introduction","Models of other solid-product electrodes show that a growing phase feeds back on reaction area and transport.","LiS_ROM_JES2025;ZnO_EEM2024;Li2S_EcoMat2024","PARTIAL","LiS_ROM_JES2025 pp.2-4, Eq.13 and porosity/reaction-area formulation; ZnO_EEM2024 pp.1-4, Figs.1-4; Li2S_EcoMat2024 pp.1-2 and 5-8, Figs.1,3-4","LiS model: 'effect of porosity variation on the active reaction area'.","Only LiS_ROM is a model. ZnO_EEM and Li2S_EcoMat are experimental/in-situ studies. All support solid-phase feedback, but the source type is misstated.","Studies of other solid-product electrodes, including reduced-order modeling and operando characterization, show how precipitation can alter reaction area and transport \\citep{LiS_ROM_JES2025,ZnO_EEM2024,Li2S_EcoMat2024}.","MUST_CHANGE","literature_pdfs/round2/LiS_ROM_JES2025.pdf; literature_pdfs/round2/ZnO_EEM2024.pdf; literature_pdfs/round2/Li2S_EcoMat2024.pdf"
"D01","70","Methods 2.4","Periodic DFT calculations used CP2K/Quickstep.","Kuhne2020CP2K;VandeVondele2005Quickstep","FULL","Kuhne2020CP2K JCP 152, 194103, title/overview; VandeVondele2005 pp.103-128, abstract and implementation sections","Quickstep is part of the CP2K program package.","Both primary software/method papers are correctly matched to CP2K and its Quickstep GPW implementation.","Retain; add the actual CP2K version/build in the final Methods or SI.","KEEP","manuscript/refs.bib"
"D02","70","Methods 2.4","The exchange-correlation functional was PBE.","Perdew1996PBE","FULL","Perdew et al., Phys. Rev. Lett. 77, 3865-3868, title and derivation","Generalized Gradient Approximation Made Simple.","This is the canonical primary citation for PBE.","Retain.","KEEP","manuscript/refs.bib"
"D03","70","Methods 2.4","Dispersion was treated with D3(BJ).","Grimme2010D3;Grimme2011D3BJ","FULL","Grimme2010 JCP 132, 154104, D3 parametrization; Grimme2011 JCC 32, 1456-1465, BJ-damping comparison","The same DFT-D3 scheme ... Becke and Johnson (BJ-damping).","The paired citations correctly distinguish the D3 scheme from the BJ damping form.","Retain.","KEEP","manuscript/refs.bib"
"D04","70","Methods 2.4","DZVP-MOLOPT-SR-GTH basis sets were used.","VandeVondele2007MOLOPT","FULL","VandeVondele and Hutter, JCP 127, 114105, basis-set construction; CP2K BASIS_MOLOPT documentation for the SR alias","SR indicates short-range MOLOPT variants.","The paper is the correct primary basis-set citation; the exact SR-GTH label is a CP2K library identifier.","Retain; record the basis-set file name and element-specific aliases in SI/source data.","KEEP","manuscript/refs.bib"
"D05","70","Methods 2.4","GTH pseudopotentials were used.","Goedecker1996GTH;Hartwigsen1998GTH;Krack2005GTHPBE","FULL","Goedecker1996 PRB 54, 1703-1710; Hartwigsen1998 PRB 58, 3641-3662; Krack2005 TCA 114, 145-152","Krack: parameter sets include Perdew-Burke-Ernzerhof (PBE).","The canonical GTH and PBE-optimized parameter papers are correctly cited.","Retain; list the exact q-valence potential names in SI/source data.","KEEP","manuscript/refs.bib"
"D06","70","Methods 2.4","Counterpoise-corrected single-point energies were used for site ordering.","Boys1970Counterpoise","FULL","Boys and Bernardi, Mol. Phys. 19, 553-566, counterpoise procedure","procedures with reduced errors","This is the original counterpoise citation and supports the named correction method.","Retain; state whether geometry optimization was uncorrected and counterpoise applied only at single points, as already drafted.","KEEP","manuscript/refs.bib"
"MD01","72","Methods 2.4","Classical MD used GROMACS.","Abraham2015GROMACS","FULL","Abraham et al., SoftwareX 1-2, 19-25, software publication","GROMACS: High performance molecular simulations.","Correct primary software citation.","Retain; add actual GROMACS version/build in SI.","KEEP","manuscript/refs.bib"
"MD02","72","Methods 2.4","The baseline water model was SPC/E.","Berendsen1987SPCE","FULL","Berendsen et al., J. Phys. Chem. 91, 6269-6271, model definition","The missing term in effective pair potentials.","Canonical SPC/E citation, despite the non-obvious title.","Retain.","KEEP","manuscript/refs.bib"
"MD03","72","Methods 2.4","Halide parameters followed the Joung-Cheatham family.","Joung2008Ions","FULL","Joung and Cheatham, JPCB 112, 9020-9041, parameterization and tables for TIP3P, TIP4P-Ew and SPC/E","parameters ... targeted for ... SPC/E","The source explicitly includes monovalent halides and SPC/E-compatible parameter sets.","Retain; SI must identify the exact Br- and I- row/parameter set used.","KEEP","manuscript/refs.bib"
"MD04","72","Methods 2.4","Initial MD configurations were prepared with Packmol.","Martinez2009Packmol","FULL","Martinez et al., JCC 30, 2157-2164, abstract and PACKMOL usage section","building initial configurations for molecular dynamics simulations","Exact software-purpose match.","Retain.","KEEP","manuscript/refs.bib"
"MD05","72","Methods 2.4","Electronic-continuum charge scaling was compared with formal ionic charges.","Leontyev2009ECC","FULL","Leontyev and Stuchebrukhov, JCP 130, 085102, abstract, model definition and conclusions","all atomic charges are scaled to reflect the screening effect","The source supports the MDEC/ECC charge-scaling concept. It does not validate the project's I3-/I2Br- analogue parameters or the resulting diffusivities.","Retain the citation and the existing wording 'project-specific analogue parameterizations'; ensure parameters and scaling factor are released.","KEEP_WITH_BOUNDARY","manuscript/refs.bib"
"R01","146","Results 3.5","Confined iodine can remain reversible in one carbon host whereas a dense iodine film raises interfacial resistance in another.","SolidI2_NatCommun2020;Jang2021","FULL","SolidI2 p.6 Fig.4a-c; Jang p.6385 abstract and Figs.3-6","Two primary papers report opposite host-specific outcomes.","The contrast is directly supported and the next sentence correctly prohibits morphology transfer to the present felt.","Retain both the contrast and the non-transfer sentence.","KEEP","literature_pdfs/round2/SolidI2_NatCommun2020.pdf; literature_pdfs/round12/Jang_ACSAMI2021_IodineFilm_ChargeTransferResistance.pdf"
"R02","160","Results 3.6","Condition-specific iodine-dissolution measurements give current scales and show that solvent environment changes iodine dissolution/clearance.","Zhao2022","FULL","Zhao2022 pp.14090-14096, Figs.2-5; UV-vis particle-dissolution model, CA, and flow-cell tests","7.5 vol% acetonitrile increases the rate constant by an order of magnitude","Direct support: UV-vis and CA quantify dissolution kinetics; ACN changes the rate constant and stable charging range. Conditions differ from the present 4 M NH4Br system.","Published particle-dissolution and chronoamperometric measurements show that solvent environment can change iodine dissolution kinetics and condition-specific current scales \\citep{Zhao2022}.","KEEP_WITH_OPTIONAL_TIGHTENING","electrochemical/03_final_interpretation_packages/ZIFB_ECHEM_R03_EXISTING_DATA_ONLY_INTERPRETATION/input_copies/d2ta03195g.pdf"
"R03","162","Results 3.6","UV-visible approaches have quantified iodine species in related systems.","ZnNC_AEL2025;WangNatCommun2025PSI","FULL","ZnNC_AEL2025 p.1735, Fig.2c-f and Fig.S10; WangNatCommun2025PSI pp.5-6, Fig.3a and Supplementary Figs.11-12","Wang: calibration curve between absorption intensity and concentration.","ZnNC quantifies I-/I3- adsorption and tracks dissolved I3-; Wang calibrates I3- absorbance-concentration and performs in-situ UV-vis in a polysulfide-iodide RFB. Neither measures local free I2 or accessible area.","UV-visible protocols have quantified dissolved I3- or I-/I3- adsorption in related iodine cells \\citep{ZnNC_AEL2025,WangNatCommun2025PSI}.","KEEP_WITH_OPTIONAL_TIGHTENING","literature_pdfs/round2/ZnNC_AEL2025.pdf; literature_pdfs/round3/Wang_NatCommun2025_PolysulfideIodideRFB.pdf"
"R04","162","Results 3.6","Impedance can follow iodine-associated interfacial resistance.","Jang2021","FULL","Jang2021 pp.6388-6391, Figs.3-6 and EIS protocol","Rct increased 9-fold to 147.4 ohm cm2.","Direct EIS/chronoamperometry support for an iodine-film-associated charge-transfer resistance, in Jang's electrolyte and current regime.","Retain with the Jang-system boundary.","KEEP","literature_pdfs/round12/Jang_ACSAMI2021_IodineFilm_ChargeTransferResistance.pdf"
"X01","39","Methods 2.2","COMSOL Multiphysics 6.3 solves the coupled tertiary-current, porous-flow and transport model.","NONE","FAIL","No COMSOL/software entry occurs in refs.bib; no module/build citation is attached in the draft","No cited source.","The statement may be true as project provenance, but the paper currently gives neither a software citation nor full version/build/module identification. General porous-electrode citations do not substitute for software provenance.","COMSOL Multiphysics 6.3 [exact build; Electrochemistry/CFD modules], COMSOL AB, Stockholm, Sweden, was used ...; add a software reference or complete vendor citation and archive the model report.","MUST_CHANGE","manuscript/audit_R582/R582_MAIN_TEXT_DRAFT.md; manuscript/refs.bib"
"X02","39-50","Methods 2.2","I3-, I2Br- and aqueous I2 rapidly interconvert and are partitioned by beta=1+K_I c_I-+K_Br c_Br-.","NONE_AT_POINT_OF_USE","FAIL","Palmer1984 p.673 Eq.1 and Tables III-V support I2/I-/I3- equilibrium; Park2021 abstract/results and Weng2017 p.1 support I2Br- formation; neither Palmer nor the current draft establishes a measured common rapid kinetic timescale","Park: estimated the stability constant of I2Br- and fractional diagrams.","The draft treats local equilibrium as an established rapid kinetic fact and gives no source for K_I or K_Br at first use. Palmer cannot support K_Br. The constants are conditional cross-system priors, not present-electrolyte measurements.","Write 'treated as a locally equilibrated lumped pool' and cite Palmer1984 for I3- plus Park2021/Weng2017 for I2Br-. State K_I and K_Br values and classify both as conditional literature priors in SI.","MUST_CHANGE","literature_pdfs/round2/Palmer1984.pdf; literature_pdfs/halide_complexation/Park2021_BKCS_BromideI2Br.pdf; literature_pdfs/halide_complexation/Weng2017_EES_ZincPolyiodideI2Br.pdf"
"X03","48","Methods 2.2","The effective iodine solubility includes a specified salting correction.","NONE_AT_POINT_OF_USE","FAIL","Ramette1965 Table I/K tables give the dilute-water reference; Palmer1984 pp.679-681 Table V gives NaClO4 ionic-strength dependence, not direct 1 M ZnI2 + 4 M NH4Br solubility","R576: Palmer medium is a cross-salt thermodynamic anchor, not present-electrolyte data.","The draft omits the values and provenance. Existing SI classifies c_sat=1.33 mol m-3 as a dilute-water reference and gamma_salt=3 as a bounded cross-salt prior; that limitation must survive R582.","At first use cite Ramette1965 for intrinsic solubility and Palmer1984 only as a bounded cross-salt salting prior; state that gamma_salt is not measured in the present electrolyte and retain its sensitivity range.","MUST_CHANGE","R576_anchor_table.md; literature_pdfs/round2/Palmer1984.pdf; literature_pdfs/round2/Ramette1965.pdf; manuscript/SI.tex"
"X04","72","Methods 2.4","Project-specific I3-/I2Br- analogue force fields and one trajectory per composition provide a mobility prior.","STANDARD_METHOD_CITATIONS_ONLY","CONTEXT-RISK","The standard citations cover GROMACS, SPC/E, JC halides, Packmol and ECC, but no external source validates the project-specific oxidized-iodine analogues","No external validation located.","The draft is appropriately cautious, but the standard method papers cannot be cited as validation of the analogue force fields or diffusivity values.","Keep 'project-specific analogue parameterizations' and 'mobility prior'; release topology/parameter files, scaling factor, convergence/block analysis and avoid 'validated'.","KEEP_WITH_BOUNDARY","manuscript/audit_R582/R582_MAIN_TEXT_DRAFT.md; MD"
