figure,input_role,original_path,registered_path,bytes,sha256,copy_status,access
S7,accepted BSSE-corrected periodic single-I2 adsorption-energy ordering,DFT/06_periodic_cp2k_single_i2_r514/workspace_snapshot/outputs/r514_status1_short/tables/sanity_final_four_site_spectrum.csv,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S7_single_i2_energy.csv,1534,1FC77A716EC8E1460A671FB18AA201F8E0E46A6ECA0DB646DEB596B1587E9CB2,byte-identical frozen copy; original source reverified,read-only
S7,accepted optimized basal single-I2 geometry,DFT/06_periodic_cp2k_single_i2_r514/workspace_snapshot/outputs/ec2_sanity_recovered_20260619/204745/cp2k_adsorption_heterogeneity/structures/basal_pristine_periodic_slab_i2_from_geo_opt_selected.xyz,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S7_basal.xyz,9728,267B97A2A83633398001EF4AB9FD209987189C9E1AC522B8BC386A32DD9924C6,byte-identical frozen copy; original source reverified,read-only
S7,accepted optimized C-OH single-I2 geometry,DFT/06_periodic_cp2k_single_i2_r514/workspace_snapshot/outputs/ec2_sanity_recovered_20260619/204745/cp2k_adsorption_heterogeneity/structures/OH_functionalized_basal_periodic_slab_i2_from_geo_opt_selected.xyz,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S7_C-OH.xyz,9894,EDB8116CE3FF9B409590B0455F9266D0BE0859641FDF4A2FCA6CF6EB5F57CDFB,byte-identical frozen copy; original source reverified,read-only
S7,accepted optimized C=O single-I2 geometry,DFT/06_periodic_cp2k_single_i2_r514/workspace_snapshot/outputs/ec2_sanity_recovered_20260619/204745/cp2k_adsorption_heterogeneity/structures/carbonyl_edge_periodic_ribbon_sanity_selected.xyz,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S7_C=O.xyz,9578,94628AF41206D57EDE803877F341DCC7895275225DEB7ADD068DE8BE6A6A3648,byte-identical frozen copy; original source reverified,read-only
S7,accepted optimized vacancy single-I2 geometry,DFT/06_periodic_cp2k_single_i2_r514/workspace_snapshot/outputs/ec2_sanity_recovered_20260619/204745/cp2k_adsorption_heterogeneity/structures/single_vacancy_periodic_slab_sanity_selected.xyz,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S7_vacancy.xyz,9510,92905B451A1BFAC8DEDC426CAC848E05B53474C11CA566632A636C533969B9E4,byte-identical frozen copy; original source reverified,read-only
S8,registered compact-minus-separated two-I2 electronic-energy diagnostic,DFT/06_periodic_cp2k_single_i2_r514/workspace_snapshot/outputs/r514_status1_short/tables/r514_2i2_coalescence_summary.csv,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S8_two_i2_energy.csv,1790,DD5559138BF7239E267037AC4DBA32BC4BE0D2987907A1A2868330924942D3F9,byte-identical frozen copy; original source reverified,read-only
S8,accepted optimized compact C-OH plus two-I2 geometry,DFT/06_periodic_cp2k_single_i2_r514/workspace_snapshot/outputs/r514_status1_short/structures/r514/OH_functionalized_basal_periodic_slab_near_2i2_geo_opt_selected.xyz,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S8_compact.xyz,7700,7438EC5CA0A722342699F3D68C8FE3E00B336D0286362D9F9F08B71105C25AED,byte-identical frozen copy; original source reverified,read-only
S8,accepted optimized separated C-OH plus two-I2 reference geometry,DFT/06_periodic_cp2k_single_i2_r514/workspace_snapshot/outputs/r514_status1_short/structures/r514/OH_functionalized_basal_periodic_slab_separated_2i2_geo_opt_selected.xyz,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S8_separated.xyz,7705,BADFDB452ED3697A527E54A9956387CD392E680E328836E639E2FB2A44A5F09B,byte-identical frozen copy; original source reverified,read-only
S8,recoverable true two-I2 charge-density-difference grid,DFT/06_periodic_cp2k_single_i2_r514/workspace_snapshot/outputs/r514_2i2_density_return_20260627T003955Z/r514_2i2_density_handoff_20260627/outputs/figures_r514_2i2_density/r514_OH_near_2i2_delta_rho_stride2.npy,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S8_delta_rho_stride2.npy,2073728,898E5619426938F607274DAD9FE5A0F7AA7AAD90B02B594D8F18B1E2DD522F6F,byte-identical frozen copy; original source reverified,read-only
S8,registered CP2K cell and geometry used to map the stride-2 CDD grid,DFT/06_periodic_cp2k_single_i2_r514/workspace_snapshot/outputs/r514_2i2_density_return_20260627T003955Z/r514_2i2_density_handoff_20260627/cp2k_outputs/r514_2i2_density/r514_OH_near_2i2_complex_edensity.inp,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S8_complex_edensity.inp,10778,2F799C10680A0518720CFE708A7037F61F21B604ED2CEF5961A2852D8B668DC2,byte-identical frozen copy; original source reverified,read-only
S9,"five-SOC species means, ranges and propagated block-stability values",MD/carrier_diffusivity_si_figure/R197_FigS_md_carrier_diffusivity_source_summary.csv,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S9_md_ladder.csv,1837,01DE06CA4D66719E5D614A66F3067B0916390A316C3F17C1F8A5C4E08DC832EB,byte-identical frozen copy; original source reverified,read-only
S9,registered charge-parameterization carrier-range summary,MD/carrier_diffusivity_si_figure/R197_FigS_md_carrier_diffusivity_summary.json,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S9_md_summary.json,973,86243B41D8B5164817BC25C39CAA18E8D09161FF1CEDF4A2C26A13D865A2C79C,byte-identical frozen copy; original source reverified,read-only
S9,MD system definition and bounded-prior claim boundary,MD/workspace_mirror/outputs/md_transport_soc_series/README.md,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S9_MD_README.md,9297,4186EA28B523A745A4CE674D9CD42AE7015215A75288B33747934EE86D21A900,byte-identical frozen copy; original source reverified,read-only
S9,"temperature, SOC grid, production length and force-field notes",MD/workspace_mirror/outputs/md_transport_soc_series/inputs/soc_series_config.yaml,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S9_soc_series_config.yaml,2329,CA3EF0C933309A94899A2132CEE703413AAA6A032146DCE8250C6A27AF717F7F,byte-identical frozen copy; original source reverified,read-only
S9,registered completion audit for ten long production cases,MD/workspace_mirror/outputs/md_transport_soc_series/results/completion_audit.md,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S9_completion_audit.md,336,C20E068F58D95E2F61A4A6B3F178936FAFF02AC5EB9D1A8C654BE96E9018F6D2,byte-identical frozen copy; original source reverified,read-only
S9,status record showing optional viscosity replicas are not the diffusion uncertainty,MD/workspace_mirror/outputs/md_transport_soc_series/results/viscosity_replicate_results.json,manuscript/source_data/R582_SI_molecular_bounds/registered_inputs/S9_viscosity_replicate_results.json,13968,52CDC9EF4F22CBED0FDD6E6403CE1B785CDA48893BAE4F43E5BAA02862F661EC,byte-identical frozen copy; original source reverified,read-only
S7-S9,exact manuscript font file,D:/Program Files/texlive/2024/texmf-dist/fonts/opentype/public/tex-gyre/texgyretermes-regular.otf,not copied; loaded directly from TeX Live,140932,CC3FE7C707B81428D23D54DF3EADD9228A2BF6A4D43125D94DF56F5F63134659,direct exact-OTF registration,read-only
S7-S9,exact manuscript font file,D:/Program Files/texlive/2024/texmf-dist/fonts/opentype/public/tex-gyre/texgyretermes-bold.otf,not copied; loaded directly from TeX Live,139480,2FB3E952065FA153C7E4E64E04B98B9D79225739B6025AA3F0F0782D299FF61E,direct exact-OTF registration,read-only
S7-S9,exact manuscript font file,D:/Program Files/texlive/2024/texmf-dist/fonts/opentype/public/tex-gyre/texgyretermes-italic.otf,not copied; loaded directly from TeX Live,141324,6DD103A1672E50568CD2F8A706CCD48443D44D7D073A59D2286F4E6F746575D6,direct exact-OTF registration,read-only
S7-S9,exact manuscript font file,D:/Program Files/texlive/2024/texmf-dist/fonts/opentype/public/tex-gyre/texgyretermes-bolditalic.otf,not copied; loaded directly from TeX Live,144180,1BF6AF99CB0E26C12951317032D79B96AE009551E59CCF02A5B24F325ECFEC87,direct exact-OTF registration,read-only
